$c_start 台湾$c_end
中视,rtmp://59.124.75.130/sat/tv091
华视,rtmp://59.124.75.130/sat/tv112
台视,rtmp://59.124.75.130/sat/tv071
民视,rtmp://59.124.75.130/sat/tv052
11,rtmp://59.124.75.130/sat/tv050
12,rtmp://59.124.75.130/sat/tv051
13,rtmp://59.124.75.130/sat/tv052
14,rtmp://59.124.75.130/sat/tv053
$c_start 测试$c_end
三立臺灣,p8p://0198.02686.cc:16871/5d1a69ae00025bef11bdc56ba098b443.ts#http://198.16.106.62:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb#http://198.16.106.62:8278/streams/d/sanlitaiwan/playlist.m3u8
text,p5p://45.92.126.18:9906/60435a1000013bcc070a9c3b0ad870c7.ts
11,p5p://45.92.126.18:9906/60441b4f00036f62001d8ff40f884e87.ts
東森戲劇,p5p://45.92.126.18:9906/60449e3500031323021ce24de00b3ef2.ts
东森戏剧,http://96.44.140.132:18006/view.php?type=m3u8&id=cn_4_14005&key=84797b799ae18d1b
东森戏剧,http://nb.iptv88888.xyz/hls/dsxiju.m3u8
东森戲劇,vjms://23.237.115.18:8500:3502/live/cid=425
東森戲劇,http://50.7.59.216:61980/myplay/cn_4_14005/index.m3u8?key=84797b799ae18d1b
